time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-06-20 13:27:07.763 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965227350,3145728, , , , ,2,2,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , , , ,37051904,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:27:28.621 UTC, ,13349,3346501,1056,187424, , ,12, ,3015, , , , , , , , , ,12,4, , , , ,1,5, ,3000, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965227350,3145728, , , , , ,514, ,2, , , ,3,1000, , , , , , , , , , , ,4096,2,4435711,1000, , , , , , , , ,61421752,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1000, , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:27:56.013 UTC, ,125,3156869,696,11016, , ,3, ,12,3,0.25, , , , , , , ,3,3, ,2, ,2,1,5, ,9,3, , , , , , , , , , , , , ,4443537,2, ,4436814, , , , , , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965275538,3145728, , , ,11, , , ,2, , , ,3, , , , ,11, ,10240,5, , , ,1,4536247,560, , , , , , , , , , ,38410440,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:28:06.145 UTC, ,13813,3351765,1264,192224, , ,14, ,6044,9,0.00, , , , , , , ,14,4, , , ,2,1,5, ,7009,1004, , , , , , , , , , , , , ,7277091,3,2831789,7268603,1, ,2,4, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965275538,3145728, , , ,1022,1,3995,1,5,1, , ,3,2002, , , ,1022,1,1230848,601,5395,2, ,17,951981,442,5958413,2001, , , , , , ,1,11,23615264,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1001, , , , , , , , , ,1000, , ,1000, , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:28:17.192 UTC, ,250,3157274,904,11296, , ,3, ,15,3,0.20, , , , , , , ,3,3, ,3, ,2,1,5, ,12,4, , , , , , , , , , , , , ,4295383083,4, ,4295376475, , , , , , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965296784,3145728, , , ,12, , , ,3, , , ,3, , , , ,12, ,10240,5, , , ,1,509425,70, , , , , , , , , , ,38409432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:28:23.061 UTC, ,13474,3356082,1368,196880, , ,16, ,6051,11,0.00, , , , , , , ,16,4, , , ,2,1,5, ,7009,1004, , , , , , , , , , , , , ,4297972612,5,2587475,4297963950,1, ,2,4, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965296784,3145728, , , ,1026,1,3105,1,4,1, , ,3,2001, , , ,1026,2,1015808,496, , , ,21,1175614,555,5506005,2001, , , , , , ,1,10,21405888,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1001, , , , , , , , , ,1000, , ,1000, , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:29:02.974 UTC, ,250,3157346,904,11368, , ,3, ,13,3,0.23, , , , , , , ,3,3, ,2, ,2,1,5, ,11,4, , , , , , , , , , , , , ,4300895877,6, ,4300889252, , , , , , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965342426,3145728, , , ,12, , , ,3, , , ,3, , , , ,12, ,16384,8, , , ,1,6016955,740, , , , , , , , , , ,39758832,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:29:07.858 UTC, ,14706,3367834,1784,207400, , ,16, ,6166,13,0.00, , , , , , , ,16,4, , , ,2, ,6, ,7142,1010, , , , , , , , , , , , , ,4303273946,7,2376163,4303265415,1,1,1,3, , ,1, , , , , ,1221,11728,1, ,2, ,2,5867,4,7, , , ,6,5845, , , , , , , , ,1497965342426,3145728, , , ,1036,1,1738,1,6,1, , ,3,2002, , , ,1036,2,899072,436,3128,2, ,29,11345635,1855,4993174,2001, , , , , , ,1,14,49568544,4, , , , , , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1001, , , , , , , , , ,1000, , ,1000, , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:29:16.802 UTC, ,250,3157642,904,11664, , ,3, ,39,3,0.08, , , , , , , ,3,3, ,10, ,2,1,5, ,24,4, , , , , , , , , , , , , ,8590884650,9,20949268,8590883860,1, ,2,4, , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965356347,3145728, , , ,12,1, ,1,4,1, , ,3,2, , , ,12, ,2048,1, , , ,1,1051251,140,904,1, , , , , , , , ,39801744,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:29:22.790 UTC, ,13474,3357114,1368,197912, , ,16, ,6055,13,0.00, , , , , , , ,16,4, , , ,2,1,5, ,7009,1004, , , , , , , , , , , , , ,8593245746,10,2353256,8593237116,1,1,1,3, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965356347,3145728, , , ,1030,1,3249,1,4,1, , ,3,2001, , , ,1030,2,952320,465, , , ,25,1247488,594,4965959,2001, , , , , , ,1,11,22454864,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1001, , , , , , , , , ,1000, , ,1000, , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:29:29.035 UTC, ,250,3157562,904,11584, , ,3,1,15,3,0.20, , , , , , , ,3,3, ,2,1,2,1,5, ,12,4, , , , , , , , , , , , , ,8595857376,11, ,8595850776, , , , , , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965368497,3145728, , , ,13, , , ,2, , , ,3, , , , ,13, ,12288,6, , , ,1,6021051,742, , , , , , , , , , ,41168760,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:29:36.107 UTC, ,14674,3365642,1680,205240, , ,16, ,6217,13,0.00, , , , , , , ,16,4, , , ,2, ,6, ,7185,1012, , , , , , , , , , , , , ,8598212583,12,2353102,8598203878,1, ,2,4, , ,1, , , ,1, ,1221,15430,1, , , , ,7716,2,4, , , ,4,7704, , , , , , , , ,1497965368497,3145728, , , ,1038,1,3645,1,6,1, , ,3,2002, , , ,1038,2,792576,384,4299,2, ,30,11461400,1910,4991557,2001, , , , , , ,1,10,54133720,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1001, , , , , , , , , ,1000, , ,1000, , , , , , , , , , , , , , , , , , , , , 
2017-06-20 13:29:45.169 UTC, ,250,3157714,904,11736, , ,3, ,42,3,0.07, , , , , , , ,3,3, ,12, ,2,1,5, ,26,4, , , , , , , , , , , , , ,12885852440,14,30949713,12885851601,1, ,2,4, , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1497965384658,3145728, , , ,12,1,1,1,5,1, , ,3,2, , , ,12, ,6144,3, , , ,1,1049233,139,953,1, , , , , , , , ,39802888,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
